Part;Global theme;Theme;Question;link
1;Home & Hometown;Accommodation;"Do you live in a house or an apartment/flat?
Can you describe the place where you live?
What do you like about living there? What do you like about your flat?
Which is your favourite room in your home? Why?
Which room does your family spend most time in?
What can you see from the windows?
Would you change anything about your home? Why/why not?
Would you like to move to a different home in the future?
What sort of accommodation would you most like to live in?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2024
1;Home & Hometown;Home decoration;"What kind of decoration do you prefer?
How is your home decorated?
What is your favorite color when decorating your home?
What colour would you never use in your home?
What colour would you choose to paint the walls of your room?
Do people in your country like redecorating their homes?
What is the new decorating trend for this year?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2025
1;Home & Hometown;Hometown;"Tell me about your hometown.
What’s your hometown known for?
Do you like your hometown?
Is it big or small?
How long have you been living there?
Do you think you’ll continue living there for a long time?
How has your town changed in the last 20 years?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2026
1;Home & Hometown;Your Country;"Where is your country located?
Which part of your country do most people live in?
What are the main industries in your country?
What are some of the good things about living in your country?
What are some of the bad things about living in your country?
What makes you feel proud of your country?
Will you stay in your country in the future?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2027
1;Places;Crowded Places;"How do you feel when you go to crowded places?
What kinds of places are often crowded in your area?
When was the last time you were in a crowded place?
Do you like going to crowded places?
Why do you think some people don’t like crowded places?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Places;Geography;"Were you interested in geography when you were younger?
Do you think you are good at geography?
Is geography an important subject to study at school?
What aspect of geography do you find the most interesting?
Do you think studying geography can help people understand current global issues?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Places;Libraries;"Do you often go to the library?
Did you go to a library when you were a kid?
What do you usually do in the library?
What kind of people go to libraries to work or study?
Are libraries popular in your country?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2030
1;Places;Museums;"Do you think museums are important?
Are there many museums in your hometown?
Do you like to visit museums?
How often do you go to museums?
When was the last time you visited a museum?
Did you visit museums when you were a child?
Why is it boring for children to go to museums?
How can we make museums interesting for children?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part1-questions-2021
1;Nature, Animals & The Environment;Wild Animals;"What’s your favourite wild animal?
Are there many wild animals in your country?
Have you ever seen wild animals?
Where can you see wild animals in your area?
Do you like seeing animals in the zoo?
";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Nature, Animals & The Environment;Rain;"Do you prefer rainy or sunny days?
What do you do on rainy days?
What do you usually do when it starts to rain outside?
Do you ever think that rain is good?
How does rain affect your life in your country?
Is there any part of the country where it doesn’t rain much?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Nature, Animals & The Environment;Outer Space and Stars;"Do you enjoy looking at the stars?
Have you ever learned about outer space and stars?
Are you interested in films about outer space and stars?
Can you see many stars at night where you live?
Is it important to study stars?
Would you ever like to go into space?
What would you do if you had a chance to go there?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2032
1;Nature, Animals & The Environment;Weather;"What’s the weather usually like in your hometown?
What’s your favourite weather?
Do you like the weather in your hometown?
Do you like hot or dry weather?
What do you do in hot weather?
Do you prefer hot or cold weather?
Do you prefer wet or dry weather?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2044
1;Travel & Transport;Transportation;"What’s the most popular form of transportation in your country?
How do you normally get to work or school?
Are there many traffic problems in your area?
How do you think you could improve public transport in your area?
Do most people use private or public transport in your area?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Travel & Transport;Public Transport/ Transportation;"Do you often use public transportation?
Did you take public transport when you were a child?
Do most people prefer public transport?
What's the most popular means of transport in your hometown?
Is driving to work popular in your country?
Will you use public transport more in the future?
Are there any traffic problems in your area?
How would you improve transport in your town?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2048
1;Travel & Transport;Travel;"Do you enjoy travelling? [Why? / Why not?]
Have you done much travelling? [Why? / Why not?]
Do you think it’s better to travel alone or with other people? [Why?]
Where would you like to travel in the future? [Why?]";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions
1;Travel & Transport;Travel habits;"What form of transport do you prefer to use? Why?
How much time do you spend travelling on a normal day?
What do you do while you are travelling?
Do you ever have problems with transport?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-questions
1;Family, friends & Other people;Celebrities;"Who is your favourite celebrity in your country?
Would you ever like to be famous?
Do you often read news about celebrities?
Have you ever met a celebrity face to face?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Family, friends & Other people;Chatting;"What do you like to talk about with your friends?
Do you prefer chatting face to face or on the phone?
Do you talk about the same things you did when you were younger?
Where are some places where you like to chat with your friends?
Do you think some people chat too much?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Family, friends & Other people;Helping others;"Do you usually help people during the week?
Is it normal to help strangers in your country?
Did your parents teach you how to help others?
Did you get a lot of help from other people when you were a kid?
Is it normal to help your neighbours in your country?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Family, friends & Other people;Friends;"What do you do together with your friends?
Do you prefer to have a big or small group of friends?
What kinds of people do you like to have as friends?
Do you prefer to spend time alone or with friends?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Family, friends & Other people;Names;"Do you like your name?Does your name have any special meaning?
Do people in your country ever change their names?
Are there any traditions about naming children in your country?
Would you ever consider changing your name?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Scools & Studies;Teachers;"Would you ever like to be a teacher?
Do you think you could be a teacher?
Did you have a favourite teacher at school?
Would you say that you were a good student at school?
Have you ever had a teacher that you didn’t like?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Scools & Studies;Schools;"Did you go to a good school?
Where did you go to school?
Did you like your teachers?
Is there anything you want to change about your school?
What are the differences between your school and other schools?
Did you like the current learning atmosphere at your school?
What are the differences between your school and other schools?
Is there anything you want to change about your school?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2031
1;Scools & Studies;School;"Where did (do) you go to school?
Do you like your teachers?
Do you like your current learning atmosphere?
What are the differences between your school and other schools?
Is there anything you want to change about your school?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2036
1;Scools & Studies;Languages;"What foreign languages have you studied?
Would you like to learn any new languages?
Did you study a foreign language when you were at school?
Do you find it difficult to learn new languages?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Free time, hobbies & Skills;Singing;"Do you like singing?
Do you often sing?
Have you ever learned how to sing?
Who do you want to sing for?
When do you like to sing?
What kinds of songs do you like to sing? What music?
Do you want to be a singer?
Is it difficult to sing well?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2047
1;Free time, hobbies & Skills;Fishing;"Is fishing popular in your country?
Do you like eating fish?
Why do you think people enjoy fishing?
Are there many places to go fishing in your area?
Have you ever tried fishing?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Free time, hobbies & Skills;Running;"Do you like running?
Where do you usually run?
How often do you go running?
Did you enjoy doing exercise when you were younger?
Would you ever like to run in an event? (a marathon etc.)";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Free time, hobbies & Skills;Ambitions;"1.) Do you think you are an ambitious person?
Did you have a lot of ambitions when you were younger?
What ambitions do you have these days?
Do you have more ambitions for your work or for your free time?
Have you ever achieved one of your ambitions before?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Free time, hobbies & Skills;Birthdays;"What do you usually do on your birthday?
Do you think it is important for you to celebrate your birthday?
What did you do on your birthday when you were young?
How did you celebrate your last birthday?
What birthday presents do you like to get?
How do children celebrate birthdays in your country?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2046
1;Free time, hobbies & Skills;Days off;"What do you usually do on your days off?
When was the last time you had a few days off?
Do you ever feel like you waste your free time?
How often do you get to take time off work / studies?
Do you wish you had more time off?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Free time, hobbies & Skills;Writing;"Do you write a lot?
Do you prefer writing by hand or typing?
Did you like writing things when you were a child?
What do you like to write? Why?
Do you think the things you write would change?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2045
1;Free time, hobbies & Skills;Puzzles;"Do you like puzzles?
Do you like doing word puzzles or number puzzles?
Did you like doing puzzles when you were a kid?
When do you do puzzles, during trips, or when you feel bored?
Do you think it is suitable for older people to do puzzles?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2045
1;Free time, hobbies & Skills;Weekends;"Do you like weekends?
What do you do in your spare time?
What do you usually do on weekends? Do you study or work?
What did you do last weekend?
Do you have plans for your weekends?
Is it important to make the most of your weekends?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2040
1;Free time, hobbies & Skills;Your week;"What’s your favourite day of the week?
Describe a typical day for you.
Is there anything that you do every day?
What do you usually do at the weekends?
Do you have a favourite day of the week?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Free time, hobbies & Skills;Staying up late;"Do you often stay up late?
Do you usually go to bed early or stay up late?
Did you stay up late when you were a kid?
What do you do when you stay up late?
What did you do the last time you stayed up late?
What do you feel the following day when you stay up late?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2038
1;Free time, hobbies & Skills;Morning;"What's your morning routine?
Do you like mornings or evenings?
Is breakfast important for you?
Have you ever changed your morning routine?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2043
1;Free time, hobbies & Skills;Art;"Do you like art?
Would you like to become an artist?
Have you ever visited an art gallery?
Are there many art galleries in your area?
Do you have any artwork in your house?
Do you like modern art or traditional art?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2042
1;Technology;Robots;"Are you interested in robots?
Do you think robots will make a big difference to people’s lives in the future?
Do you think robots could make a big difference at your work?
Would you want to be a passenger in a self-driving car?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Technology;Technology;"Do you like to use new technology?
What are the benefits of using technology?
What technology do you often use, computers or cell phones?
What electronic devices have you bought lately?
Is there any technology you want to buy?
What are the benefits of technology?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2048
1;Technology;Text messages;"Do you like texting?
Why do you send texts?
In what situations is making a call better than writing a text?
Is texting better than calling people?
Do you receive texts with ads?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part1-questions-2021
1;Technology;Internet and computers;"How often do you use a computer?
What do you use computers for?
Is it OK for children to have mobile phones?
Do you like modern technology?
What modern technology don’t you like?
Is it bad to use the Internet too much?";https://breakoutenglish.com/ielts/ielts-speaking-part-1-questions/
1;Media & Entertainment;Music;"What kind of music do you like to listen to?
What kinds of music are popular in your country?
Have you ever tried to learn a musical instrument?
How much time do you spend listening to music each day?
Have you ever been to a live concert?
Do you ever listen to music while you are at work?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Media & Entertainment;Social Media;"Do you like using social media?
Do your friends use social media a lot?
What kinds of social networks do you use?
What’s the most popular social media platform in your country?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Media & Entertainment;Musical instruments;"Can you play any musical instruments?
Did you learn to play any instruments when you were younger?
Is it a requirement to learn how to play an instrument at school in your country?
Is there an instrument you would like to learn?
Do you know many people who do play musical instruments?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Media & Entertainment;Films & Movies;"Do you like watching films?
How often do you go to the cinema?
Did you enjoy the cinema when you were younger?
Do you enjoy watching movies alone or with friends?
Can you remember the first film you saw in the cinema?
Are you interested in watching films made in your own country?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Body & Mind;Being Bored;"Do you often get bored?
What kinds of things are boring to you?
Did you think that school was boring when you were younger?
Do you feel bored more often now than when you were younger?
What do you do when you start feeling bored?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Body & Mind;Noise;"Do you live in a noisy area?
(If yes) Does being in a noisy place bother you?
Are there any specific noises that annoy you?
Is it usually louder in the countryside or in the city in your country?
Do you think cities are getting noisier these days?
What do you do to escape noisy places?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Body & Mind;Health;"What kind of exercise do you normally do?
Do you usually try and look after your health?
What are your favourite sports?
What things do you eat to take care of your health?
Have you ever been on a diet?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Body & Mind;Dreams;"Do you usually remember your dreams?
Do you think dreams have any special meaning?
Have you ever had a bad dream?
Do you ever write down your dreams after you wake up?
Do you like to listen to other people talking about their dreams?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Body & Mind;Concentration;"Do you find it difficult to stay focused?
What can you do to improve your concentration?
When do you find it hard to concentrate on something?
In what situations do you need to concentrate?
It is easy for you to do 2 things simultaneously (at the same time?)";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Body & Mind;Happiness;"What things made you happy when you were a child?
What  activities make you feel happy now?
What kinds of people make you happy?
When during the day do you feel happiest?
Does food ever make you happy?
What do you do to stay happy?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2039
1;Clothes & accessories;Sunglasses;"Do you like to wear sunglasses?
How often do you wear sunglasses?
How often do you buy new sunglasses?
Have you ever lost a pair of sunglasses?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Clothes & accessories;Clothes;"What kinds of clothes do you like to wear?
What colour clothing do you usually wear?
Do you wear the same kinds of clothes during the week and on weekends?
Are there big differences between the clothes that men and women wear in your country?
Do people in your country like to wear brightly colored clothing?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Clothes & accessories;Bags;"Do you like bags?
Do you have different bags for different occasions?
Do you usually carry a bag when you go out?
What do you put in your bag?
When you are buying a new bag, what factors do you consider?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Clothes & accessories;Hair;"Do you like going to the hairdresser's?
Do you want to change your hair colour?
How often do you have a haircut?
How long have you had this haircut?
Have you had a haircut you didn't like?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2044
1;Clothes & accessories;Jewellery;"Do you like wearing jewelry?
How often do you wear jewelry?
Do you wear a lot of jewelry?
What type of jewelry do you like to wear?
Do you usually buy jewelry?
Why do some people wear a piece of jewelry for a long time?
Have you ever given jewelry as a gift?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2034
1;Clothes & accessories;T-shirts;"Do you own many t-shirts?
Do you like t-shirts with pictures or prints?
Do you like wearing t-shirts?
How often do you wear t-shirts?
Are t-shirts popular in your country?
When is it appropriate to wear a t-shirt in your country?
Do you have a lot of clothes in your wardrobe?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2028
1;Things & Objects;Collecting things;"What kind of items do people collect in your country?
Is collecting things a popular pastime in your country?
Why do you think people like having collections?
Do you collect anything?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Things & Objects;Colours;"What’s your favourite colour?
What are some popular colours in your country?
What colour clothes do you like to wear?
Are there any colours you don’t like?
What colours would you like to have in your home?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Things & Objects;Maps;"Are you able to read a map?
How often do you use a map in your daily life?
Do you prefer using a physical or a digital map?
Do you remember the first time you used a map?
Do you think it’s important to be able to read a map anymore?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Things & Objects;Gifts;"What kinds of gifts are popular in your country?
What was the last gift you received?
Do you often buy gifts for other people?
Is it appropriate for people to buy expensive gifts for each other in your country?
Have you ever received a gift that you didn’t like before?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Things & Objects;Keys;"Do you always bring many keys with you?
Have you ever lost a key and had to replace it?
Is it a good idea to leave your key with a neighbour?
Have you ever locked yourself out?
How can you avoid losing your keys?
Do you always take your keys when you go out?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2029
1;Things & Objects;Fixing things;"Do you often fix things in your home?
Are you good at fixing things?
What kinds of things do you have to fix?
Who taught you how to fix things?
Do you often break things in your home?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Food & Eating;Cakes;"Do you like to eat cake?
Did you like cake when you were younger?
Have you ever tried to make a cake on your own?
When do people usually eat cakes in your country?
Do you ever eat cakes or sweet things after a meal?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Food & Eating;Tea & Coffee;"Are tea and coffee popular in your country?
Do you prefer tea or coffee?
How often do you drink tea or coffee?
Is it common to offer people tea or coffee when they visit your home?
Did people drink tea or coffee a lot when you were younger too?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Food & Eating;Chocolate;"Do you like eating chocolate?
How often do you eat chocolate?
What's your favorite flavor?
Did you often eat chocolate when you were a kid?
Is it good to give chocolate as gifts to others? Did you do that?
Why do you think chocolate is popular around the world?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2033
1;Food & Eating;Ice Cream;"Do you like ice cream?
How often do you eat ice cream?
What flavour of ice cream is your favourite?
Why do you think so many people like ice cream?
Did you like ice cream when you were younger?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Food & Eating;Snacks;"What’s your opinion on snacks between meals?
Is it healthy to eat snacks?
What kind of snacks do you like to eat?
What kind of snacks do children in your country like to eat?
When do you usually have snacks?
What was the most popular snack when you were young?
Do your parents allow you to have snacks?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2047
1;Food & Eating;Cooking;"Do you like cooking?
What do you usually cook?
Would you like to learn how to cook?
Who usually does the cooking in your family?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2042
1;Work, Business, Money & Shopping;Advertising;"Is there much advertising in your country?
How do you feel about advertisements?
Do you ever stop watching things because of advertisements?
What kind of places do you see a lot of advertisements?
Do you think there is too much advertising in some places?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Work, Business, Money & Shopping;Money;"Are you good at saving money?
Did you try and save up your money when you were younger?
What kinds of things do you like to save up for?
What kinds of things do you spend most of your money on?";https://markteacher.com/latest-speaking-questions-2022-2023-2/
1;Work, Business, Money & Shopping;Occupation/Work;"Do you work or are you a student?
Why did you choose this kind of work/to study this subject?
Do you like your job?
What’s the most interesting part of being a ... (... / student)?
What’s the most difficult part of being a ... (... / student)?
What do you dislike about your work or studies?
What was your dream job when you were a child?
Have you changed your mind since then?
What kind of work would you like to do in the future?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2023
1;Work, Business, Money & Shopping;Small businesses;"Are there many small businesses in your area?
Do you know many small businesses?
Do you prefer shopping in big companies or small shops?
Why do some people prefer to shop at small businesses?
Would you ever like to run your own small business?
When was the last time you bought something from a small business?";https://yourielts.ru/prepare-for-ielts/ielts-speaking/ielts-speaking-part-1-topics-january-may-2035
